Region;Documents;Citable documents;Citations;Self-Citations;Citations per Document;H index
America;330556;323516;10384889;4939446;31.42;1518
Asia;84715;83636;1471436;452317;17.37;694
Oceania;83214;79407;2202970;511876;26.47;934
Europa;72577;71650;1712373;440790;23.59;815
Europa;54287;53262;1261032;286483;23.23;742
America;41147;40500;1167462;211792;28.37;725
Europa;37578;36707;771326;174080;20.53;654
Europa;31598;31541;234887;68753;7.43;355
Asia;28649;28575;201055;82991;7.02;436
Europa;23574;22908;450361;113891;19.10;531
Oceania;23458;22852;575738;116068;24.54;583
Europa;22200;21798;656537;106261;29.57;636
Asia;20625;20337;220355;76913;10.68;341
Europa;16182;15934;491496;84340;30.37;567
Europa;15091;14861;501309;63814;33.22;629
Europa;11576;11537;133124;37694;11.50;336
Europa;11093;10873;283599;38823;25.57;502
Asia;10323;10243;150409;31884;14.57;300
Asia;10257;10044;271452;37238;26.47;456
Asia;10076;10008;137811;27254;13.68;375
America;8728;8639;133153;41839;15.26;342
Europa;7845;7699;238755;35107;30.43;476
Europa;7486;7405;200493;34635;26.78;407
Europa;7400;7268;192494;24764;26.01;416
Europa;5814;5734;132482;22647;22.79;362
Europa;5668;5665;27390;7518;4.83;159
Asia;5622;5434;57956;16770;10.31;237
Europa;4981;4909;80884;15780;16.24;295
Europa;4854;4838;59454;14693;12.25;268
Oceania;4625;4545;120143;18473;25.98;318
America;4557;4514;68990;15323;15.14;261
Europa;4366;4276;68203;13243;15.62;277
Africa;4301;4201;63970;14046;14.87;260
Asia;4255;4163;76243;10977;17.92;325
America;4061;4023;59678;14857;14.70;249
Asia;2852;2818;47616;5553;16.70;308
Asia;2812;2800;27402;5447;9.74;148
Europa;2685;2654;43508;9406;16.20;269
Europa;2642;2569;58711;6025;22.22;299
Europa;2424;2407;26035;6035;10.74;165
Europa;2209;2200;23045;4080;10.43;154
Asia;1960;1914;18828;2615;9.61;144
Europa;1902;1891;15819;3919;8.32;153
America;1716;1707;30442;5845;17.74;214
Europa;1680;1665;12892;3353;7.67;161
Europa;1411;1396;17065;3713;12.09;172
Europa;1339;1338;7294;1616;5.45;114
Asia;1203;1185;20174;3227;16.77;190
Africa;1050;1045;8314;2083;7.92;103
America;998;988;13038;2103;13.06;141
Asia;961;939;12253;1949;12.75;145
Asia;886;874;7382;1811;8.33;130
Asia;827;817;9664;3314;11.69;158
Africa;817;814;10009;1480;12.25;109
America;735;733;7349;1614;10.00;106
Africa;635;629;13742;2077;21.64;149
Asia;583;579;5821;885;9.98;92
Europa;579;574;10962;1965;18.93;148
America;560;556;9761;1091;17.43;151
Asia;540;536;9251;780;17.13;126
Asia;508;498;5608;835;11.04;112
Europa;483;481;6002;999;12.43;122
America;460;460;11847;804;25.75;141
Asia;448;445;10067;1141;22.47;131
Asia;439;439;4013;668;9.14;92
Africa;438;433;3444;914;7.86;97
Europa;405;404;2842;387;7.02;116
Asia;399;399;1059;170;2.65;58
Africa;370;370;4003;577;10.82;89
Asia;359;349;4765;437;13.27;100
Europa;355;353;4032;703;11.36;94
Africa;350;344;4454;557;12.73;81
Europa;308;303;10987;1025;35.67;181
Asia;298;294;4416;676;14.82;122
Africa;259;259;3716;661;14.35;82
America;258;258;4258;595;16.50;115
America;257;251;5914;828;23.01;114
Europa;253;253;881;226;3.48;50
Asia;253;251;1728;98;6.83;59
Europa;246;245;2157;423;8.77;90
Europa;246;246;1223;233;4.97;68
Africa;240;238;4748;715;19.78;102
Asia;207;204;3218;267;15.55;109
Africa;202;199;3018;499;14.94;83
Asia;193;182;2188;199;11.34;96
Africa;177;176;2171;441;12.27;78
Africa;174;170;2408;285;13.84;82
America;170;167;2781;268;16.36;126
America;166;163;2642;255;15.92;64
Asia;161;160;1895;165;11.77;74
Europa;148;148;3534;241;23.88;100
Africa;139;133;2491;368;17.92;111
Oceania;132;130;1413;197;10.70;59
Europa;124;119;2188;169;17.65;67
Asia;113;109;601;52;5.32;43
Asia;110;109;2646;237;24.05;64
Africa;106;106;1078;103;10.17;76
America;101;97;2211;155;21.89;92
America;99;97;1161;122;11.73;67
